categories,primaryCategories,reviewsdate,reviewstext,reviewstitle,sentiment,review_year,review_month,review_day
"Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,2016-10-01 00:00:00+00:00,sever kindl knew expect great read devic keep sever differ locat,great read tool,Positive,2016,10,1
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-01 00:00:00+00:00,purchas pair echo enjoy echo must say notic differ echo plu best buy remark price better amazon win amp speaker,alexa control,Positive,2017,12,1
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-20 00:00:00+00:00,love alexa encourag autom home light come ask heat control wherev fun ask alexa question,alexa wonder,Positive,2018,1,20
"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2017-12-08 00:00:00+00:00,purchas kindl daughter realli enjoy use,nice kindl,Positive,2017,12,8
"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2016-12-23 00:00:00+00:00,echo love product purchas tap gift,gift someon,Positive,2016,12,23
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-08 00:00:00+00:00,easili connect soni android tv work great,great devic,Positive,2017,12,8
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-03-10 00:00:00+00:00,brought small reader mom want someth larger phone pintrest read love,gift mom,Positive,2017,3,10
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-23 00:00:00+00:00,bought upgrad old kindl work awesom even watch movi amazon prime plenti app choos awesom littl tablet,great tablet,Positive,2016,12,23
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-04 00:00:00+00:00,light carri good pictur qualiti purchas hear impair person download video american sign languag product easi maneuv someon use tablet,great hear impair download video,Positive,2016,11,4
"Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets",Electronics,2017-04-17 00:00:00+00:00,bought kindl yr old granddaught christma husband kindl sever year prior year old grandson love watch play children kind game system use kindl way yr old grandson still play mine love watch tube video play game sever game system xbox sega ds still use kindl time systemsmi husband use time everyth internet watch movi show im get readi buy grandson new kindl mine bit older crack screen still work goodh would like one call im look gb gbthey realli durabl tough,great,Positive,2017,4,17
"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-07-09 00:00:00+00:00,explor featur kindl fire tablet yet sound alway reset time want stay full sound maximum loud alway reset time fire listen music what pleas direct someon,good tabllet money,Positive,2016,7,9
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-02-21 00:00:00+00:00,wow much fun wow tell anythingplay song much much,great,Positive,2018,2,21
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-18 00:00:00+00:00,amazon fire tablet awesomemi kid love,awesom,Positive,2017,1,18
"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-02-03 00:00:00+00:00,fire tablet far best valu market parent friendli parent control kid friendli eas use,great valu,Positive,2017,2,3
"Tablets,Fire Tablets,Computers & Tablets,All Tablets",Electronics,2017-04-17 00:00:00+00:00,bought kindl yr old granddaught christma husband kindl sever year prior year old grandson love watch play children kind game system use kindl way yr old grandson still play mine love watch tube video play game sever game system xbox sega ds still use kindl time systemsmi husband use time everyth internet watch movi show im get readi buy grandson new kindl mine bit older crack screen still work goodh would like one call im look gb gbthey realli durabl tough,great,Positive,2017,4,17
"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-01-28 00:00:00+00:00,excel gift famili good choic,great gift,Positive,2017,1,28
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-02-03 00:00:00+00:00,bought four kid love,great kid,Positive,2017,2,3
"Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,2017-12-20 17:38:23+00:00,order daughter black paperwhit love read quit bit larger book drive crazi hold lay want take book vacat lug around thick paperback throw bag read anywher light weight easi use batteri life last week make around awesom devic daughter public school offer onlin librari eread download book free school also download public librari app counti offer read free well shop ebook straight devic amazoncom,light weight make world differ take book go,Positive,2017,12,20
"Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,2017-09-01 00:00:00+00:00,like e reader wish screen higher resolut requir decent light look good easi eye screen updat involv flash whole screen notic less time advertis month long batteri life standbi time last much less download read book,great reader perfect,Positive,2017,9,1
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2016-12-14 00:00:00+00:00,drop thrown doesnt break awesom tablet,perfect kid,Positive,2016,12,14
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-02-02 00:00:00+00:00,use think amazon echo think flimsi sound amazon echo echo tin complex least experienc friend echo echo plu ask much devic excel sound one best devic ever purchas could would hous forget dot echo nd gen echo plu way go beauti devic sound second none,love love love,Positive,2018,2,2
"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2016-10-21 00:00:00+00:00,full disclosur five amazon echo includ dot well tap obvious im fan echo honestli couldnt figur amazon market onlin review tap fit compar full blown echo dot kept think limit compar echo dot tap button ask question howev given complet portabl run six hour charg make sens would wast batteri alway listen voic command imo tap sound good mayb even better echo much smaller form factor sinc portabl probabl go sit next way tap ask question realli issu someway better full tabl control get request music friend get fun war ask differ music full blown echo also get littl annoy someon play michael bolton bruce springsteen bottom line good sound full blown tap portabl smaller form happi echo may favorit,versatil amazon echo,Positive,2016,10,21
"Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets",Electronics,2017-01-16 00:00:00+00:00,great tablet thousand book movi music choos amazon store easi navig,great tablet,Positive,2017,1,16
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-14 00:00:00+00:00,truli enjoy product older one superb area entertain,great tablet money,Positive,2016,12,14
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-07 00:00:00+00:00,tablet great book audibl book music thing amazon includ browser silk best purchas expand memori gb sd card cover biggest issu unit slow compar ipad tend freez everi often x money consid ipad instead,ipad mean,Neutral,2017,4,7
"Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,2017-12-13 00:00:00+00:00,bought gift dad love well worth dont plan read dark,fabul gift item,Positive,2017,12,13
"Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets",Electronics,2017-03-12 00:00:00+00:00,bought christma gift wife thing start well late wife issu hasnt work littl month sinc she im go tri hard reset see help,look good,Neutral,2017,3,12
"Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets",Electronics,2017-02-25 00:00:00+00:00,great tablet money cheap use stand alon interfac fish tank,great money,Positive,2017,2,25
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-10-20 00:00:00+00:00,great need expand inform,good differ reason,Positive,2017,10,20
"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-01-27 00:00:00+00:00,perfect need use movi etc great gift,perfect,Positive,2017,1,27
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-11-17 00:00:00+00:00,bought brother wife love control nest thermostat work expand environ philip hue bulb,great accessori,Positive,2017,11,17
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-02-03 00:00:00+00:00,overal tablet well construct well engin excit factor son wore quickli includ includ app servic noth neg report noth unexpect posit sens either,solid product,Positive,2017,2,3
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-18 00:00:00+00:00,look entri level tablet itth kindl fire hd perfect kid,great entri level tablet,Positive,2017,1,18
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-08 00:00:00+00:00,amazon show pretti cool help thing like cook recip homework thing restrict amazon partner thing googl come someth similar would definit chosen show youtub,amazon show,Neutral,2017,12,8
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-03-23 00:00:00+00:00,bought gift daughter good buyshock proof great educ app kid,good kid,Positive,2017,3,23
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-02 00:00:00+00:00,alexa control may need extra time jog,great product,Positive,2017,12,2
"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2017-01-29 00:00:00+00:00,love hear reader replac mine destroy last awesom,great,Positive,2017,1,29
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-03-16 00:00:00+00:00,year old love much enjoy read play game,great price,Positive,2017,3,16
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-23 00:00:00+00:00,perfect gift friend obsess read perfect start greater librari book easi use extrem afford happi purchas buy famili friend,realli decent tablet,Positive,2017,1,23
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-20 00:00:00+00:00,absolut love amazon alexa devic six hous connect sono nest arlo devic,fantast,Positive,2017,12,20
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2016-12-03 00:00:00+00:00,qualiti come app instal durribl love case,kid love,Positive,2016,12,3
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-19 00:00:00+00:00,use tablet eread listen prime music time great thisstil lean featur,great tablet price,Positive,2017,1,19
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-31 00:00:00+00:00,famili enjoy alexa hous smart lot research famili truli glad made purchas,alexa,Positive,2017,12,31
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-18 00:00:00+00:00,grand daughter love parent durabl id highli recommend product,great beginn tablet,Positive,2017,1,18
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-23 00:00:00+00:00,purchas year old mother primarili use eread seem may easier see actual book alway find new technolog easi use seem ok tablet also use play solitair possibl game,good tablet senior,Positive,2017,1,23
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2016-12-09 00:00:00+00:00,easi simpl grandson use problem use,greater starter yr old grandson,Positive,2016,12,9
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-02-09 00:00:00+00:00,love devic perform perfectli play music lure light command,echo plu,Positive,2018,2,9
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-29 00:00:00+00:00,love new echo show pictur clear microphon pick voic far away wife like recip go show alway think music sound great come small unit talk christma,outstand show,Positive,2017,12,29
"Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,2017-02-13 00:00:00+00:00,easi use navig purchas book fast simpl love fact password protect devic,great eread beginn,Positive,2017,2,13
"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-03-21 00:00:00+00:00,first thing notic alexa respons time question wait download lightn quick respons nd compat smart hone featur connect light secur monitor system eas clear concis,total mini counter computertablet,Positive,2018,3,21
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-07 00:00:00+00:00,best tablet kid tablet modifi android oper system amazon featur builtin great review kid tablet gigahertz processor mean small devic decent enough intern memori gig expand gigabyt wont run memori megapixel camera shoot p mean full hd k bought camera youd wrong kid year year old that good gig ram kind sluggish detail game year old isnt play heavi graphic game take cpu gpu came nice rubber case drop protect thrown time excitedli job resourc hog gp radio bluetooth wifi,awesom sauc,Positive,2017,1,7
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-05 00:00:00+00:00,need kindl school decid look read review read review decid kindl perfect compar tablet,perfect school,Positive,2017,5,5
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-02-04 00:00:00+00:00,amazon fire tablet great gift kid age ez fun use keep kid entertain give educ tool use grade level hire,great tablet kid age,Positive,2017,2,4
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-06 00:00:00+00:00,grandson love tablet got safe,great tablet child,Positive,2017,1,6
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-09-29 00:00:00+00:00,dad use speaker tv love use tradit alexa waybut speaker option discov ad benefit,fun,Positive,2017,9,29
"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-09-16 00:00:00+00:00,replac kindl crash fare everyth great larger screen fast responsemor storag dont charg often well pleas,great grade kindl,Positive,2016,9,16
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-30 00:00:00+00:00,hope use googl launcher tablet realli lock chang launcher lock screen still cheap fine watch movi,cheap tablet,Neutral,2016,12,30
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-09 00:00:00+00:00,two dot function awesom cant wait see improv time great qualiti speaker build,best deal ever,Positive,2017,12,9
"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2017-05-18 00:00:00+00:00,meh work find difficult navig also ipad mini seem less intuit ipad,amazon fire hd,Neutral,2017,5,18
"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2016-09-06 00:00:00+00:00,granddaught love perfect gift long airplan trip,great product,Positive,2016,9,6
"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-22 00:00:00+00:00,hope echo show allow us elev experi use screen option call famili friend well read recip etc,great addit echo plu dot,Positive,2017,12,22
"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-07-03 00:00:00+00:00,nice devic like use read book onlin,good devic,Positive,2016,7,3
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-07-11 00:00:00+00:00,reliabl great memori storag excel batteri life would recommend young old,great eread tablet,Positive,2017,7,11
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-09-18 00:00:00+00:00,purchas present friend sinc echo video chat check qualiti video great,great check hous,Positive,2017,9,18
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-23 00:00:00+00:00,father upgrad origin kindl fire model he happi doesnt compet mainstream tablet like kindl system download librari book,good improv previou model,Neutral,2017,1,23
"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-12 00:00:00+00:00,love amazon echo show make life easier love abl ask weather go play music ask alexa also love abl video call friend famili echo show alexa app overal great product,great devic,Positive,2017,12,12
"Fire Tablets,Tablets,All Tablets,Amazon Tablets",Electronics,2017-03-04 00:00:00+00:00,second kindl love lightweight simpl fast conveni trip fit bag without weigh,everyth expect amazon,Positive,2017,3,4
"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2017-01-24 00:00:00+00:00,love amazon youll love kindl hd great size read book stream movi tv show great sound listen favorit music less cant beat versatil littl devic,great amazon devic,Positive,2017,1,24
"Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets",Electronics,2016-12-18 00:00:00+00:00,bought tablet cheaper model quit work found cloud item alreadi avail prime member,easi access magazin book,Positive,2016,12,18
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-24 00:00:00+00:00,fast good light got gb space best gift ive bought bookread,wow top happi,Positive,2016,12,24
"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2017-01-16 00:00:00+00:00,second kindl item learn love easi get around app,love kindl,Positive,2017,1,16
"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-04-28 00:00:00+00:00,daughter love read book watch movi,love book read,Positive,2017,4,28
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-23 00:00:00+00:00,bought tablet year old love watch video nurseri rhyme bubbl guppi final get housework done without interrupt user friendli even year old figur,keep year old entertain,Positive,2017,1,23
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-18 00:00:00+00:00,tablet good kid adult price screen resolut also sell point,good tablet price,Positive,2017,1,18
"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-04-07 00:00:00+00:00,grandson realli enjoy tablet eas use lot differ educ program must rememb charg tablet everynight,yr old grandson love,Positive,2017,4,7
"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-12-16 00:00:00+00:00,review lot tablet bought one first one ever purchas tech geek pretti easi figur use mostli bought use read email facebook brows internet realli like use laptop need anyth detail use laptop overal great tablet beginn cant beat price,great beginn tablet,Positive,2016,12,16
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-02-16 00:00:00+00:00,use bathroom listen amazon music alexa control voic,great speaker,Positive,2018,2,16
"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-28 00:00:00+00:00,still learn new thing tablet easi use perfect size,easi use enjoy explor would,Positive,2017,4,28
"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-02-03 00:00:00+00:00,like abl turn light music thermostat home,awesom,Positive,2018,2,3
